"State","Postcode"
"Johor","80000"
"Johor","80050"
"Johor","80100"
"Johor","80150"
"Johor","80200"
"Johor","80250"
"Johor","80300"
"Johor","80350"
"Johor","80400"
"Johor","81000"
"Johor","81100"
"Johor","81200"
"Johor","81300"
"Johor","81400"
"Johor","81500"
"Johor","81550"
"Johor","81700"
"Johor","81750"
"Johor","81800"
"Johor","81850"
"Johor","81900"
"Johor","82000"
"Johor","82100"
"Johor","82200"
"Johor","82300"
"Johor","83000"
"Johor","83100"
"Johor","83200"
"Johor","83300"
"Johor","83400"
"Johor","83500"
"Johor","83600"
"Johor","83700"
"Johor","84000"
"Johor","84100"
"Johor","84150"
"Johor","84200"
"Johor","84300"
"Johor","84400"
"Johor","84500"
"Johor","84600"
"Johor","84700"
"Johor","84800"
"Johor","84900"
"Johor","85000"
"Johor","85100"
"Johor","85200"
"Johor","85300"
"Johor","85400"
"Johor","86000"
"Johor","86100"
"Johor","86200"
"Johor","86300"
"Johor","86400"
"Johor","86500"
"Johor","86600"
"Johor","86700"
"Johor","86800"
"Johor","86900"
"Kedah","05000"
"Kedah","05050"
"Kedah","05100"
"Kedah","05150"
"Kedah","05200"
"Kedah","05250"
"Kedah","05300"
"Kedah","05350"
"Kedah","05400"
"Kedah","05460"
"Kedah","05500"
"Kedah","05502"
"Kedah","05503"
"Kedah","05504"
"Kedah","05505"
"Kedah","05506"
"Kedah","05508"
"Kedah","05512"
"Kedah","05514"
"Kedah","05516"
"Kedah","05517"
"Kedah","05518"
"Kedah","05520"
"Kedah","05532"
"Kedah","05534"
"Kedah","05536"
"Kedah","05538"
"Kedah","05550"
"Kedah","05551"
"Kedah","05552"
"Kedah","05556"
"Kedah","05558"
"Kedah","05564"
"Kedah","05576"
"Kedah","05578"
"Kedah","05580"
"Kedah","05582"
"Kedah","05586"
"Kedah","05590"
"Kedah","05592"
"Kedah","05594"
"Kedah","05596"
"Kedah","05600"
"Kedah","05604"
"Kedah","05610"
"Kedah","05612"
"Kedah","05614"
"Kedah","05620"
"Kedah","05621"
"Kedah","05622"
"Kedah","05626"
"Kedah","05628"
"Kedah","05630"
"Kedah","05632"
"Kedah","05644"
"Kedah","05660"
"Kedah","05661"
"Kedah","05664"
"Kedah","05670"
"Kedah","05672"
"Kedah","05673"
"Kedah","05674"
"Kedah","05675"
"Kedah","05676"
"Kedah","05680"
"Kedah","05690"
"Kedah","05700"
"Kedah","05710"
"Kedah","05720"
"Kedah","05990"
"Kedah","06000"
"Kedah","06007"
"Kedah","06009"
"Kedah","06010"
"Kedah","06050"
"Kedah","06100"
"Kedah","06150"
"Kedah","06200"
"Kedah","06207"
"Kedah","06209"
"Kedah","06250"
"Kedah","06300"
"Kedah","06350"
"Kedah","06400"
"Kedah","06500"
"Kedah","06507"
"Kedah","06509"
"Kedah","06550"
"Kedah","06570"
"Kedah","06600"
"Kedah","06650"
"Kedah","06660"
"Kedah","06700"
"Kedah","06707"
"Kedah","06709"
"Kedah","06710"
"Kedah","06720"
"Kedah","06750"
"Kedah","06800"
"Kedah","06900"
"Kedah","06910"
"Kedah","07000"
"Kedah","07007"
"Kedah","07009"
"Kedah","08007"
"Kedah","08009"
"Kedah","08010"
"Kedah","08100"
"Kedah","08110"
"Kedah","08200"
"Kedah","08210"
"Kedah","08300"
"Kedah","08320"
"Kedah","08330"
"Kedah","08340"
"Kedah","08400"
"Kedah","08407"
"Kedah","08409"
"Kedah","08500"
"Kedah","08507"
"Kedah","08509"
"Kedah","08600"
"Kedah","08700"
"Kedah","08800"
"Kedah","09000"
"Kedah","09007"
"Kedah","09009"
"Kedah","09010"
"Kedah","09020"
"Kedah","09100"
"Kedah","09200"
"Kedah","09300"
"Kedah","09310"
"Kedah","09400"
"Kedah","09410"
"Kedah","09600"
"Kedah","09700"
"Kedah","09800"
"Kedah","09810"
"Kedah","34950"
"Kelantan","15000"
"Kelantan","15050"
"Kelantan","15100"
"Kelantan","15150"
"Kelantan","15159"
"Kelantan","15200"
"Kelantan","15300"
"Kelantan","15350"
"Kelantan","15400"
"Kelantan","15500"
"Kelantan","15502"
"Kelantan","15503"
"Kelantan","15504"
"Kelantan","15505"
"Kelantan","15506"
"Kelantan","15508"
"Kelantan","15512"
"Kelantan","15514"
"Kelantan","15516"
"Kelantan","15517"
"Kelantan","15518"
"Kelantan","15519"
"Kelantan","15520"
"Kelantan","15524"
"Kelantan","15529"
"Kelantan","15532"
"Kelantan","15534"
"Kelantan","15536"
"Kelantan","15538"
"Kelantan","15540"
"Kelantan","15546"
"Kelantan","15548"
"Kelantan","15550"
"Kelantan","15551"
"Kelantan","15556"
"Kelantan","15558"
"Kelantan","15560"
"Kelantan","15564"
"Kelantan","15570"
"Kelantan","15572"
"Kelantan","15576"
"Kelantan","15578"
"Kelantan","15582"
"Kelantan","15586"
"Kelantan","15590"
"Kelantan","15592"
"Kelantan","15594"
"Kelantan","15596"
"Kelantan","15600"
"Kelantan","15604"
"Kelantan","15606"
"Kelantan","15608"
"Kelantan","15609"
"Kelantan","15610"
"Kelantan","15612"
"Kelantan","15614"
"Kelantan","15620"
"Kelantan","15622"
"Kelantan","15624"
"Kelantan","15626"
"Kelantan","15628"
"Kelantan","15630"
"Kelantan","15632"
"Kelantan","15634"
"Kelantan","15644"
"Kelantan","15646"
"Kelantan","15648"
"Kelantan","15658"
"Kelantan","15660"
"Kelantan","15661"
"Kelantan","15662"
"Kelantan","15664"
"Kelantan","15670"
"Kelantan","15672"
"Kelantan","15673"
"Kelantan","15674"
"Kelantan","15676"
"Kelantan","15680"
"Kelantan","15690"
"Kelantan","15700"
"Kelantan","15710"
"Kelantan","15720"
"Kelantan","15730"
"Kelantan","15740"
"Kelantan","15988"
"Kelantan","15990"
"Kelantan","16010"
"Kelantan","16020"
"Kelantan","16030"
"Kelantan","16040"
"Kelantan","16050"
"Kelantan","16060"
"Kelantan","16070"
"Kelantan","16080"
"Kelantan","16090"
"Kelantan","16100"
"Kelantan","16109"
"Kelantan","16150"
"Kelantan","16200"
"Kelantan","16210"
"Kelantan","16250"
"Kelantan","16300"
"Kelantan","16310"
"Kelantan","16400"
"Kelantan","16410"
"Kelantan","16450"
"Kelantan","16500"
"Kelantan","16600"
"Kelantan","16700"
"Kelantan","16800"
"Kelantan","16810"
"Kelantan","17000"
"Kelantan","17007"
"Kelantan","17009"
"Kelantan","17010"
"Kelantan","17020"
"Kelantan","17030"
"Kelantan","17040"
"Kelantan","17050"
"Kelantan","17060"
"Kelantan","17070"
"Kelantan","17200"
"Kelantan","17500"
"Kelantan","17507"
"Kelantan","17509"
"Kelantan","17510"
"Kelantan","17520"
"Kelantan","17600"
"Kelantan","17610"
"Kelantan","17700"
"Kelantan","18000"
"Kelantan","18010"
"Kelantan","18020"
"Kelantan","18050"
"Kelantan","18200"
"Kelantan","18300"
"Kelantan","18400"
"Kelantan","18500"
"Melaka","75000"
"Melaka","75050"
"Melaka","75100"
"Melaka","75150"
"Melaka","75200"
"Melaka","75250"
"Melaka","75260"
"Melaka","75300"
"Melaka","75350"
"Melaka","75400"
"Melaka","75450"
"Melaka","75460"
"Melaka","75500"
"Melaka","75502"
"Melaka","75503"
"Melaka","75504"
"Melaka","75505"
"Melaka","75506"
"Melaka","75508"
"Melaka","75510"
"Melaka","75512"
"Melaka","75514"
"Melaka","75516"
"Melaka","75517"
"Melaka","75518"
"Melaka","75519"
"Melaka","75532"
"Melaka","75536"
"Melaka","75538"
"Melaka","75540"
"Melaka","75542"
"Melaka","75546"
"Melaka","75550"
"Melaka","75551"
"Melaka","75552"
"Melaka","75560"
"Melaka","75564"
"Melaka","75566"
"Melaka","75570"
"Melaka","75572"
"Melaka","75576"
"Melaka","75578"
"Melaka","75582"
"Melaka","75584"
"Melaka","75586"
"Melaka","75590"
"Melaka","75592"
"Melaka","75594"
"Melaka","75596"
"Melaka","75600"
"Melaka","75604"
"Melaka","75606"
"Melaka","75608"
"Melaka","75609"
"Melaka","75610"
"Melaka","75612"
"Melaka","75618"
"Melaka","75620"
"Melaka","75622"
"Melaka","75626"
"Melaka","75628"
"Melaka","75630"
"Melaka","75632"
"Melaka","75646"
"Melaka","75648"
"Melaka","75662"
"Melaka","75668"
"Melaka","75670"
"Melaka","75672"
"Melaka","75673"
"Melaka","75674"
"Melaka","75676"
"Melaka","75690"
"Melaka","75700"
"Melaka","75710"
"Melaka","75720"
"Melaka","75730"
"Melaka","75740"
"Melaka","75750"
"Melaka","75760"
"Melaka","75900"
"Melaka","75902"
"Melaka","75904"
"Melaka","75906"
"Melaka","75908"
"Melaka","75910"
"Melaka","75912"
"Melaka","75914"
"Melaka","75916"
"Melaka","75918"
"Melaka","75990"
"Melaka","76100"
"Melaka","76109"
"Melaka","76200"
"Melaka","76300"
"Melaka","76400"
"Melaka","76409"
"Melaka","76450"
"Melaka","77000"
"Melaka","77007"
"Melaka","77008"
"Melaka","77009"
"Melaka","77100"
"Melaka","77109"
"Melaka","77200"
"Melaka","77300"
"Melaka","77309"
"Melaka","77400"
"Melaka","77407"
"Melaka","77409"
"Melaka","77500"
"Melaka","78000"
"Melaka","78009"
"Melaka","78100"
"Melaka","78200"
"Melaka","78300"
"Melaka","78307"
"Melaka","78309"
"Negeri Sembilan","70000"
"Negeri Sembilan","70100"
"Negeri Sembilan","70200"
"Negeri Sembilan","70300"
"Negeri Sembilan","70400"
"Negeri Sembilan","70450"
"Negeri Sembilan","70500"
"Negeri Sembilan","70502"
"Negeri Sembilan","70503"
"Negeri Sembilan","70504"
"Negeri Sembilan","70505"
"Negeri Sembilan","70506"
"Negeri Sembilan","70508"
"Negeri Sembilan","70512"
"Negeri Sembilan","70516"
"Negeri Sembilan","70517"
"Negeri Sembilan","70518"
"Negeri Sembilan","70532"
"Negeri Sembilan","70534"
"Negeri Sembilan","70536"
"Negeri Sembilan","70540"
"Negeri Sembilan","70546"
"Negeri Sembilan","70548"
"Negeri Sembilan","70550"
"Negeri Sembilan","70551"
"Negeri Sembilan","70558"
"Negeri Sembilan","70560"
"Negeri Sembilan","70564"
"Negeri Sembilan","70570"
"Negeri Sembilan","70572"
"Negeri Sembilan","70576"
"Negeri Sembilan","70578"
"Negeri Sembilan","70582"
"Negeri Sembilan","70586"
"Negeri Sembilan","70590"
"Negeri Sembilan","70592"
"Negeri Sembilan","70594"
"Negeri Sembilan","70596"
"Negeri Sembilan","70600"
"Negeri Sembilan","70604"
"Negeri Sembilan","70606"
"Negeri Sembilan","70608"
"Negeri Sembilan","70609"
"Negeri Sembilan","70610"
"Negeri Sembilan","70620"
"Negeri Sembilan","70626"
"Negeri Sembilan","70628"
"Negeri Sembilan","70632"
"Negeri Sembilan","70634"
"Negeri Sembilan","70644"
"Negeri Sembilan","70646"
"Negeri Sembilan","70648"
"Negeri Sembilan","70658"
"Negeri Sembilan","70664"
"Negeri Sembilan","70670"
"Negeri Sembilan","70672"
"Negeri Sembilan","70673"
"Negeri Sembilan","70674"
"Negeri Sembilan","70676"
"Negeri Sembilan","70690"
"Negeri Sembilan","70700"
"Negeri Sembilan","70710"
"Negeri Sembilan","70720"
"Negeri Sembilan","70730"
"Negeri Sembilan","70740"
"Negeri Sembilan","70750"
"Negeri Sembilan","70990"
"Negeri Sembilan","71000"
"Negeri Sembilan","71007"
"Negeri Sembilan","71009"
"Negeri Sembilan","71010"
"Negeri Sembilan","71050"
"Negeri Sembilan","71059"
"Negeri Sembilan","71100"
"Negeri Sembilan","71109"
"Negeri Sembilan","71150"
"Negeri Sembilan","71159"
"Negeri Sembilan","71200"
"Negeri Sembilan","71209"
"Negeri Sembilan","71250"
"Negeri Sembilan","71259"
"Negeri Sembilan","71300"
"Negeri Sembilan","71309"
"Negeri Sembilan","71350"
"Negeri Sembilan","71359"
"Negeri Sembilan","71400"
"Negeri Sembilan","71409"
"Negeri Sembilan","71450"
"Negeri Sembilan","71459"
"Negeri Sembilan","71500"
"Negeri Sembilan","71509"
"Negeri Sembilan","71550"
"Negeri Sembilan","71559"
"Negeri Sembilan","71600"
"Negeri Sembilan","71609"
"Negeri Sembilan","71650"
"Negeri Sembilan","71659"
"Negeri Sembilan","71700"
"Negeri Sembilan","71707"
"Negeri Sembilan","71709"
"Negeri Sembilan","71750"
"Negeri Sembilan","71759"
"Negeri Sembilan","71770"
"Negeri Sembilan","71800"
"Negeri Sembilan","71807"
"Negeri Sembilan","71809"
"Negeri Sembilan","71900"
"Negeri Sembilan","71907"
"Negeri Sembilan","71909"
"Negeri Sembilan","71960"
"Negeri Sembilan","72000"
"Negeri Sembilan","72007"
"Negeri Sembilan","72009"
"Negeri Sembilan","72100"
"Negeri Sembilan","72107"
"Negeri Sembilan","72109"
"Negeri Sembilan","72120"
"Negeri Sembilan","72127"
"Negeri Sembilan","72129"
"Negeri Sembilan","72200"
"Negeri Sembilan","72207"
"Negeri Sembilan","72209"
"Negeri Sembilan","72300"
"Negeri Sembilan","72307"
"Negeri Sembilan","72309"
"Negeri Sembilan","72400"
"Negeri Sembilan","72409"
"Negeri Sembilan","72500"
"Negeri Sembilan","72507"
"Negeri Sembilan","72509"
"Negeri Sembilan","73000"
"Negeri Sembilan","73007"
"Negeri Sembilan","73009"
"Negeri Sembilan","73100"
"Negeri Sembilan","73109"
"Negeri Sembilan","73200"
"Negeri Sembilan","73207"
"Negeri Sembilan","73209"
"Negeri Sembilan","73300"
"Negeri Sembilan","73309"
"Negeri Sembilan","73400"
"Negeri Sembilan","73409"
"Negeri Sembilan","73410"
"Negeri Sembilan","73420"
"Negeri Sembilan","73430"
"Negeri Sembilan","73440"
"Negeri Sembilan","73480"
"Negeri Sembilan","73500"
"Negeri Sembilan","73507"
"Negeri Sembilan","73509"
"Pahang","25000"
"Pahang","25020"
"Pahang","25050"
"Pahang","25100"
"Pahang","25150"
"Pahang","25200"
"Pahang","25250"
"Pahang","25300"
"Pahang","25350"
"Pahang","25500"
"Pahang","25502"
"Pahang","25503"
"Pahang","25504"
"Pahang","25505"
"Pahang","25506"
"Pahang","25508"
"Pahang","25509"
"Pahang","25512"
"Pahang","25514"
"Pahang","25516"
"Pahang","25517"
"Pahang","25518"
"Pahang","25520"
"Pahang","25524"
"Pahang","25529"
"Pahang","25532"
"Pahang","25534"
"Pahang","25536"
"Pahang","25538"
"Pahang","25540"
"Pahang","25546"
"Pahang","25548"
"Pahang","25550"
"Pahang","25551"
"Pahang","25552"
"Pahang","25556"
"Pahang","25558"
"Pahang","25560"
"Pahang","25564"
"Pahang","25570"
"Pahang","25576"
"Pahang","25578"
"Pahang","25582"
"Pahang","25584"
"Pahang","25586"
"Pahang","25590"
"Pahang","25592"
"Pahang","25594"
"Pahang","25596"
"Pahang","25598"
"Pahang","25600"
"Pahang","25604"
"Pahang","25606"
"Pahang","25608"
"Pahang","25609"
"Pahang","25610"
"Pahang","25612"
"Pahang","25614"
"Pahang","25620"
"Pahang","25622"
"Pahang","25626"
"Pahang","25628"
"Pahang","25630"
"Pahang","25632"
"Pahang","25644"
"Pahang","25646"
"Pahang","25648"
"Pahang","25656"
"Pahang","25660"
"Pahang","25661"
"Pahang","25662"
"Pahang","25670"
"Pahang","25672"
"Pahang","25673"
"Pahang","25674"
"Pahang","25676"
"Pahang","25690"
"Pahang","25700"
"Pahang","25710"
"Pahang","25720"
"Pahang","25730"
"Pahang","25740"
"Pahang","25750"
"Pahang","25988"
"Pahang","25990"
"Pahang","26000"
"Pahang","26010"
"Pahang","26050"
"Pahang","26060"
"Pahang","26070"
"Pahang","26080"
"Pahang","26090"
"Pahang","26100"
"Pahang","26130"
"Pahang","26140"
"Pahang","26150"
"Pahang","26170"
"Pahang","26180"
"Pahang","26190"
"Pahang","26200"
"Pahang","26250"
"Pahang","26300"
"Pahang","26310"
"Pahang","26400"
"Pahang","26410"
"Pahang","26420"
"Pahang","26430"
"Pahang","26440"
"Pahang","26450"
"Pahang","26500"
"Pahang","26600"
"Pahang","26607"
"Pahang","26609"
"Pahang","26610"
"Pahang","26620"
"Pahang","26630"
"Pahang","26640"
"Pahang","26650"
"Pahang","26660"
"Pahang","26680"
"Pahang","26690"
"Pahang","26700"
"Pahang","26800"
"Pahang","26810"
"Pahang","26820"
"Pahang","26900"
"Pahang","27000"
"Pahang","27010"
"Pahang","27020"
"Pahang","27030"
"Pahang","27040"
"Pahang","27050"
"Pahang","27060"
"Pahang","27070"
"Pahang","27080"
"Pahang","27090"
"Pahang","27100"
"Pahang","27150"
"Pahang","27200"
"Pahang","27207"
"Pahang","27209"
"Pahang","27210"
"Pahang","27300"
"Pahang","27310"
"Pahang","27400"
"Pahang","27500"
"Pahang","27600"
"Pahang","27607"
"Pahang","27609"
"Pahang","27610"
"Pahang","27620"
"Pahang","27630"
"Pahang","27650"
"Pahang","27660"
"Pahang","27670"
"Pahang","28007"
"Pahang","28009"
"Pahang","28010"
"Pahang","28020"
"Pahang","28030"
"Pahang","28040"
"Pahang","28050"
"Pahang","28100"
"Pahang","28200"
"Pahang","28300"
"Pahang","28310"
"Pahang","28320"
"Pahang","28330"
"Pahang","28340"
"Pahang","28350"
"Pahang","28380"
"Pahang","28400"
"Pahang","28407"
"Pahang","28409"
"Pahang","28500"
"Pahang","28600"
"Pahang","28610"
"Pahang","28620"
"Pahang","28700"
"Pahang","28707"
"Pahang","28709"
"Pahang","28730"
"Pahang","28740"
"Pahang","28750"
"Pahang","28800"
"Pahang","39000"
"Pahang","39007"
"Pahang","39009"
"Pahang","39100"
"Pahang","39200"
"Pahang","49000"
"Pahang","69000"
"Perak","30000"
"Perak","30010"
"Perak","30020"
"Perak","30100"
"Perak","30200"
"Perak","30250"
"Perak","30300"
"Perak","30350"
"Perak","30450"
"Perak","30500"
"Perak","30502"
"Perak","30503"
"Perak","30504"
"Perak","30505"
"Perak","30506"
"Perak","30508"
"Perak","30510"
"Perak","30512"
"Perak","30516"
"Perak","30517"
"Perak","30518"
"Perak","30519"
"Perak","30520"
"Perak","30524"
"Perak","30532"
"Perak","30534"
"Perak","30536"
"Perak","30540"
"Perak","30542"
"Perak","30546"
"Perak","30548"
"Perak","30550"
"Perak","30551"
"Perak","30552"
"Perak","30554"
"Perak","30556"
"Perak","30560"
"Perak","30564"
"Perak","30570"
"Perak","30576"
"Perak","30580"
"Perak","30582"
"Perak","30586"
"Perak","30590"
"Perak","30592"
"Perak","30594"
"Perak","30596"
"Perak","30600"
"Perak","30604"
"Perak","30606"
"Perak","30609"
"Perak","30610"
"Perak","30612"
"Perak","30614"
"Perak","30620"
"Perak","30621"
"Perak","30622"
"Perak","30626"
"Perak","30628"
"Perak","30630"
"Perak","30632"
"Perak","30634"
"Perak","30644"
"Perak","30646"
"Perak","30648"
"Perak","30656"
"Perak","30658"
"Perak","30660"
"Perak","30661"
"Perak","30662"
"Perak","30664"
"Perak","30668"
"Perak","30670"
"Perak","30673"
"Perak","30674"
"Perak","30676"
"Perak","30682"
"Perak","30690"
"Perak","30700"
"Perak","30710"
"Perak","30720"
"Perak","30730"
"Perak","30740"
"Perak","30750"
"Perak","30760"
"Perak","30770"
"Perak","30780"
"Perak","30790"
"Perak","30800"
"Perak","30810"
"Perak","30820"
"Perak","30830"
"Perak","30840"
"Perak","30900"
"Perak","30902"
"Perak","30904"
"Perak","30906"
"Perak","30908"
"Perak","30910"
"Perak","30912"
"Perak","30988"
"Perak","30990"
"Perak","31000"
"Perak","31007"
"Perak","31009"
"Perak","31050"
"Perak","31100"
"Perak","31150"
"Perak","31200"
"Perak","31250"
"Perak","31300"
"Perak","31350"
"Perak","31400"
"Perak","31407"
"Perak","31409"
"Perak","31450"
"Perak","31500"
"Perak","31550"
"Perak","31560"
"Perak","31600"
"Perak","31610"
"Perak","31650"
"Perak","31700"
"Perak","31750"
"Perak","31800"
